model name,result type,n_examples,accuracy,precision,recall,f1,roc_auc,classification_report_accuracy,classification_report_macro_avg_f1_score,classification_report_macro_avg_precision,classification_report_macro_avg_recall,classification_report_macro_avg_support,classification_report_negative_f1_score,classification_report_negative_precision,classification_report_negative_recall,classification_report_negative_support,classification_report_positive_f1_score,classification_report_positive_precision,classification_report_positive_recall,classification_report_positive_support,classification_report_weighted_avg_f1_score,classification_report_weighted_avg_precision,classification_report_weighted_avg_recall,classification_report_weighted_avg_support,confusion_matrix_0_0,confusion_matrix_0_1,confusion_matrix_1_0,confusion_matrix_1_1
large_naive_bayes_baseline_b,validation,5000,0.857,0.8745,0.8336,0.8536,0.9295,0.857,0.8569216560219715,0.8577836320222003,0.857,5000.0,0.8602696892710573,0.8410393580435613,0.8804,2500.0,0.8535736227728855,0.8745279060008393,0.8336,2500.0,0.8569216560219715,0.8577836320222002,0.857,5000.0,2201,299,416,2084
large_naive_bayes_baseline_b,test,25000,0.8354,0.8722,0.7861,0.8269,0.9116,0.83544,0.8350380852071644,0.8387412497310428,0.83544,25000.0,0.8431806053213388,0.8053007135575942,0.8848,12500.0,0.82689556509299,0.8721817859044914,0.78608,12500.0,0.8350380852071644,0.8387412497310428,0.83544,25000.0,11060,1440,2674,9826
large_tfidf_logreg_main_b,validation,5000,0.9038,0.8923,0.9184,0.9052,0.9637,0.9038,0.9037794896360107,0.9041445898430838,0.9037999999999999,5000.0,0.9023746701846965,0.9159456118665018,0.8892,2500.0,0.9051843090873251,0.8923435678196657,0.9184,2500.0,0.9037794896360108,0.9041445898430839,0.9038,5000.0,2223,277,204,2296
large_tfidf_logreg_main_b,test,25000,0.8924,0.8903,0.8951,0.8927,0.9586,0.8924,0.8923992039262703,0.8924116128723067,0.8924000000000001,25000.0,0.8921065297609497,0.894546332046332,0.88968,12500.0,0.8926918780915909,0.8902768936982813,0.89512,12500.0,0.8923992039262704,0.8924116128723067,0.8924,25000.0,11121,1379,1311,11189
medium_naive_bayes_baseline_b,validation,2000,0.856,0.8779,0.827,0.8517,0.9326,0.856,0.8558787940658094,0.8572016262707749,0.856,2000.0,0.8600583090379009,0.8364839319470699,0.885,1000.0,0.8516992790937178,0.8779193205944799,0.827,1000.0,0.8558787940658095,0.8572016262707748,0.856,2000.0,885,115,173,827
medium_naive_bayes_baseline_b,test,5000,0.819,0.8537,0.77,0.8097,0.9014,0.819,0.8185643730597163,0.8220933848682749,0.819,5000.0,0.8274547187797903,0.7905282331511839,0.868,2500.0,0.8096740273396424,0.8536585365853658,0.77,2500.0,0.8185643730597164,0.8220933848682749,0.819,5000.0,2170,330,575,1925
medium_naive_bayes_baseline_c,validation,2000,0.8505,0.8686,0.826,0.8467,0.9312,0.8505,0.8504102087277888,0.8513435759257979,0.8505,2000.0,0.854075158613958,0.8341277407054337,0.875,1000.0,0.8467452588416197,0.868559411146162,0.826,1000.0,0.8504102087277888,0.8513435759257978,0.8505,2000.0,875,125,174,826
medium_naive_bayes_baseline_c,test,5000,0.8216,0.8545,0.7752,0.8129,0.9015,0.8216,0.8212150832255813,0.8243936260041678,0.8216,5000.0,0.8295107033639144,0.794289897510981,0.868,2500.0,0.8129194630872483,0.8544973544973545,0.7752,2500.0,0.8212150832255813,0.8243936260041677,0.8216,5000.0,2170,330,562,1938
medium_tfidf_logreg_main_b,validation,2000,0.883,0.8711,0.899,0.8848,0.9602,0.883,0.8829700403303246,0.8833925940162727,0.883,2000.0,0.8810975609756098,0.8956611570247934,0.867,1000.0,0.8848425196850394,0.8711240310077519,0.899,1000.0,0.8829700403303246,0.8833925940162726,0.883,2000.0,867,133,101,899
medium_tfidf_logreg_main_b,test,5000,0.8774,0.8696,0.888,0.8787,0.9471,0.8774,0.8773862231160293,0.8775696949236864,0.8774,5000.0,0.8760865170810592,0.8855741724560686,0.8668,2500.0,0.8786859291509994,0.8695652173913043,0.888,2500.0,0.8773862231160292,0.8775696949236866,0.8774,5000.0,2167,333,280,2220
medium_tfidf_logreg_main_c,validation,2000,0.8795,0.8695,0.893,0.8811,0.9583,0.8795,0.8794780348718554,0.8797768573289928,0.8795,2000.0,0.8778509883426254,0.8900308324768756,0.866,1000.0,0.8811050814010853,0.8695228821811101,0.893,1000.0,0.8794780348718555,0.8797768573289928,0.8795,2000.0,866,134,107,893
medium_tfidf_logreg_main_c,test,5000,0.8792,0.8694,0.8924,0.8808,0.9463,0.8792,0.8791789481399239,0.8794644715580971,0.8792,5000.0,0.8775841102553709,0.889482333607231,0.866,2500.0,0.8807737860244769,0.8694466095089634,0.8924,2500.0,0.8791789481399239,0.8794644715580973,0.8792,5000.0,2165,335,269,2231
small_naive_bayes_baseline_a,validation,500,0.804,0.8248,0.772,0.7975,0.8745,0.804,0.8037990902684349,0.8052503052503053,0.804,500.0,0.810077519379845,0.7857142857142857,0.836,250.0,0.7975206611570248,0.8247863247863247,0.772,250.0,0.8037990902684349,0.8052503052503053,0.804,500.0,209,41,57,193
small_naive_bayes_baseline_a,test,5000,0.8048,0.8476,0.7432,0.792,0.8935,0.8048,0.8040564805588695,0.8094976292968994,0.8048,5000.0,0.8161266013564431,0.7713675213675214,0.8664,2500.0,0.7919863597612958,0.8476277372262774,0.7432,2500.0,0.8040564805588694,0.8094976292968993,0.8048,5000.0,2166,334,642,1858
small_naive_bayes_baseline_b,validation,500,0.824,0.8375,0.804,0.8204,0.8763,0.824,0.8239295718287314,0.8245192307692308,0.8240000000000001,500.0,0.8274509803921568,0.8115384615384615,0.844,250.0,0.8204081632653061,0.8375,0.804,250.0,0.8239295718287315,0.8245192307692307,0.824,500.0,211,39,49,201
small_naive_bayes_baseline_b,test,5000,0.812,0.8482,0.76,0.8017,0.8963,0.812,0.8114902696892397,0.8154114906832298,0.812,5000.0,0.8212927756653993,0.782608695652174,0.864,2500.0,0.8016877637130801,0.8482142857142857,0.76,2500.0,0.8114902696892398,0.8154114906832298,0.812,5000.0,2160,340,600,1900
